ID,Question,A,B,C,D,Answer,Subject
21,温度通常与物质的什么成正比,热能。,振动动能。,平均平动动能。,转动动能。,C,conceptual_physics
27,如果一个正在运动中的物体其质量上所有向量力之和为零，那么这个物体将,沿直线以恒定速度运动,沿直线以恒定加速度运动,静止不动,增加其惯性量,A,conceptual_physics
89,以下哪一项会发生干涉现象,声波,光波,两者都是,两者都不是,C,conceptual_physics
93,地球生物圈中的辐射大部分是,天然背景辐射,军事活动的结果,来自核电站,宇宙射线的形式,A,conceptual_physics
101,如果一个灯泡灯丝中的电流为 3 A，则连接线中的电流为,小于 3 A,3 A,大于 3 A,信息不足，无法判断,B,conceptual_physics
107,如果一个铁原子核一分为二，那么对于它的裂变碎片,每原子核的质量会减少,每原子核的质量会增加,每原子核的质量不变,每原子核的质量会增加或减少,B,conceptual_physics
137,有两个向量，一个是 3 N，另一个是 4 N，其合力和可能是,0 N,5 N,8 N,这些皆可,B,conceptual_physics
140,在裂变和聚变过程中，能量被释放，而质量会,减少,保持不变；守恒,增加,可能减少，也可能增加,A,conceptual_physics
145,电流计可以通过校准来读取,电流,电压,两者其一,两者都不是,C,conceptual_physics
155,桌子上有一本数学书和一本物理书被一根绳子捆绑在一起。拉紧绳子后，其中一本书从桌子边缘掉落。落下的过程中，另一本书被水平地拖过桌面。如果不计摩擦力，书本的加速度是,零,g/2,g,介于 0 和 g 之间,D,conceptual_physics
171,一个电中性的铁原子的原子核内有 26 个质子。该铁原子的电子数为,52,26,24,无。,B,conceptual_physics
209,一根弦拨动时会产生四个环（腹点）。弦的长度为 12.00 m，则波的波长必须是,48.0 m,24.0 m,6.00 m,3.00 m,C,conceptual_physics
232,水在什么条件下会沸腾和冻结,温度降低,大气压力降低,温度升高,大气压力升高,B,conceptual_physics
4,关于回归总体和样本，下列哪个陈述是错误的？,总体是所有关注项目的总集合,总体可以是无限大,理论上，样本可以大于总体,随机样本是指从总体中抽取每个单独项目的可能性相等的样本。,C,econometrics
5,对于时间序列中线性相关的 Box-Pierce Q 和 Ljung-Box Q* 统计量的比较，下列哪个陈述是不正确的？,渐近地，两个检验统计量的值相等,Q 检验比 Q* 具有更好的小样本性质,对于小样本，Q 检验有时会过大,当样本量趋于无穷大时，两个检验都将显示出总是拒绝零自相关系数的零假设的趋势。,B,econometrics
12,关于计量经济学中的预测，下列哪个陈述是正确的？,只能对时间序列数据进行预测,错误指定的模型肯定会产生不准确的预测,结构预测比时间序列模型更容易产生,样本内预测能力是模型充分性的不良检验,D,econometrics
18,$\hat{u}^t \hat{u} 的维数是多少？,T x k,T x 1,k x 1,1 x 1,D,econometrics
53,建立多元 GARCH 模型的对角 VECH 方法被 BEKK 公式所克服的最重要的缺点是什么？,对角 VECH 模型很难直观地解释,对角 VECH 模型包含太多参数,对角 VECH 模型不能保证方差-协方差矩阵是正定的,BEKK 模型减少多个序列一起建模时出现的维数问题。,C,econometrics
63,下列哪一项是估计面板模型的固定效应方法的缺点？,此模型估计起来可能是技术性的,若复合误差项与一个或多个解释变量相关，则该方法可能无效,要估计的参数数量可能很大，导致自由度的损失,固定效应方法只能捕获横断面异质性，而不能捕获因变量的时间变异。,C,econometrics
76,"若两个变量 $x_t$ 和 $y_t$ 是协整的，则以下哪些陈述是正确的？

i) $x_t$ 和 $y_t$ 一定都是平稳的


ii) 仅 $x_t$ 和 $y_t$ 的一个线性组合是平稳的


iii) $x_t$ 和 $y_t$ 的协整方程描述两个系列之间的短期关系




iv) $y_t$ 对 $x_t$ 的回归残差必须是平稳的",仅 (ii) 和 (iv),仅 (i) 和 (iii),仅 (i)、(ii) 和 (iii),(i)、(ii)、(iii) 和 (iv),A,econometrics
108,关于替代的预测准确度测量，下列哪一个陈述是正确的？,均方误差通常与交易规则盈利能力高度相关,平均绝对误差提供二次损失函数,平均绝对百分比误差是评估资产收益预测的有用度量,较之小预测误差，均方误差更能不成比例地惩罚大预测误差,D,econometrics
41,下列哪一种存储器使用一个晶体管和一个电容器作为基本存储器单元,SRAM,DRAM,SRAM 和 DRAM,都不是,B,electrical_engineering
123,负实轴上交替排列极点和零点，则网络类型是,LC 网络。,RC 网络。,RL 网络。,2 和 3。,D,electrical_engineering
0,当 24 = 2p 时，p 的值是多少？,p = 4,p = 8,p = 12,p = 24,C,elementary_mathematics
7,求 2.16 ÷ 0.06 的商。,3.6,36,0.01272,12.72,B,elementary_mathematics
75,昨天，Micah 吃了偶数个草莓。他还吃了奇数个苹果。哪一组可以代表 Micah 昨天吃的草莓 S 和苹果 A ？,SSSSS；AAA,SSSSS；AAAA,SSSSSSSS；AAAA,SSSSSSSS；A,D,elementary_mathematics
91,动物园里有 15 只巨嘴鸟和 60 只鹦鹉。动物园里巨嘴鸟的数量和鹦鹉的数量之比是多少？,1:04,1:05,4:01,4:05,A,elementary_mathematics
114,Jerry 在 10 小时内读完了一本 200 页的书。按照这个速度，他要花多长时间能读完一本 320 页的书？,16 个小时,18 个小时,24 小时,32 小时,A,elementary_mathematics
142,如果 x − 3 = 6，那么 x 的值是多少？,2,3,6,9,D,elementary_mathematics
145,一个形状是由 12 个大小相等的直角三角形组成的。每个直角三角形的底是 4 厘米，高是 5 厘米。这个形状的总面积是多少（单位是平方厘米）？,10,60,120,240,C,elementary_mathematics
180,一个面包师做了 232 个松饼。他把 190 个松饼送到了当地的一家酒店。他会把剩下的松饼放在盒子里。每个盒子可以装 6 个松饼。哪个方程可以用来求面包师需要的盒子数 b？,(232 - 190)/6=b,(232 + 190)x6=b,(232 - 190)x6=b,(232 + 190)/6=b,A,elementary_mathematics
260,Lily 要把袋子里所有的糖果都送人。她可以把相同数量的糖果分给 5、3 或 2 个人。Lily 的袋子里可能有几块糖？,12,20,30,45,C,elementary_mathematics
93,找出以下条件命题的前件：当大学提高学费时，要么是州长赞成的，要么是董事会建议的。,大学提高学费。,州长赞成。,董事会阻止。,董事会没有阻止。,A,formal_logic
113,找出以下论证的结论。从历史的角度来看，遗传学是一门年轻的学科。控制遗传特征的原理在不到 150 年前就已有说明。此外，大约在二十世纪之交，人们再次发现了遗传规律，但即便在那时，DNA 的重要性也未被人真正所了解，直至到 20 世纪 50 年代。,但即便在那时，DNA 的重要性也未被人真正所了解，直至到 20 世纪 50 年代。,DNA 的重要性也未被人真正所了解，直至到 20 世纪 50 年代。,从历史的角度来看，遗传学是一门年轻的学科。,控制遗传特征的原理在不到 150 年前就已有说明。,C,formal_logic
68,对 DNA 样本进行聚合酶链反应 (PCR) 时，需要以下哪项？,反转录酶,真空室,与 DNA 某些部分互补的引物,DNA 连接酶,C,high_school_biology
83,在一个细胞内，基于给定 mRNA 分子合成的蛋白质量部分取决于以下哪项？,DNA 甲基化抑制了基因的表达。,转录因子介导结合 RNA 聚合酶和启动转录，这将生成的蛋白质量。,mRNA 降解速度将决定蛋白质合成量。,蛋白质合成量仅取决于一个细胞中核糖体的位置和数量。,C,high_school_biology
128,关于首次在生态演替的栖息地栖息的生物，以下哪项是正确的？,其是该地区最凶猛的竞争者。,其将栖息地保持原样。,其改变栖息地，使该栖息地更适合其他生物。,其是小型无脊椎动物。,C,high_school_biology
190,袋鼠浓缩尿液的能量比人类更强。基于此，可以预期，与人类肾脏的肾单位相比，袋鼠肾脏的肾单位将具有以下哪种特征,壁较厚，不透水,髓袢更短,髓袢更长,集合管更短,C,high_school_biology
301,具有亲缘关系的物种串联来回进化，捕食者-猎物关系是以下哪种的示例。,趋异进化,趋同进化,平行进化,协同进化,D,high_school_biology
13,Br2(g) 与 Cl2(g) 反应生成 BrCl(g)，在某一温度下其平衡常数为 15.0。如果在一个 15.0 升的反应容器中初始存在 10.0 克 BrCl，那么在平衡时 BrCl 的浓度是多少？,3.8 × 10^-3 mol/L,5.77 × 10^-3 mol/L,1.97 × 10^-3 M,9.9 × 10^-4 M,A,high_school_chemistry
21,在一个同位素制备后的三个半衰期后，,25% 的同位素剩余,25% 的同位素衰变,12.5% 的同位素剩余,12.5% 的同位素衰变,C,high_school_chemistry
81,以下哪个过程是不可逆反应？,CH4(g) + O2(g) → CO2(g) + H2O(l),HCN(aq) + H2O(l) → CN-(aq) + H3O+(aq),Al(NO3)3(s) → Al3+(aq) + 3NO3-(aq),2Ag+(aq) + Ti(s) → 2Ag(s) + Ti2+(aq),A,high_school_chemistry
121,将 50.0 mL 0.0025 M HBr 与 50.0 mL 0.0023 M KOH 混合。所得混合物的 pH 值是多少？,1,4,5,11,B,high_school_chemistry
124,以下哪一项不是相对分子间吸引力的良好度量？,熔化热,沸点,蒸汽压,汽化热,A,high_school_chemistry
142,亚硫酸 H2SO3 溶液存在于水溶液中。下列哪一项代表溶液中三种不同离子的浓度？,[SO32-] > [HSO3-] > [H2SO3],[H2SO3] > [HSO3-] > [SO32-],[H2SO3] > [HSO3-] = [SO32-],[SO32-] = [HSO3-] > [H2SO3],B,high_school_chemistry
3,数字图像通常由图像中每个像素的红、绿、蓝值（RGB 三元组）表示。摄影师正在处理数字图像并覆盖原始图像。以下哪项描述了数字图像的无损转换？,以可能丢失信息但图像质量只会受到轻微损失的方式压缩图像。,通过平均每个像素中的红色、绿色和蓝色量并将此新值分配给新图像中的相应像素来创建图像的灰度。每个像素的新值代表灰色的阴影，范围从白色到黑色。,通过为每个像素创建新的 RGB 三元组来创建图像的负片，其中每个值都是通过从 255 中减去原始值来计算的。图像的负片与原始图像相反；亮区显示为暗色，颜色反转。,通过获取图片一部分的像素并将其复制到图片另一部分的像素来修改图像的一部分。,C,high_school_computer_science
32,"程序员编写了以下代码段来显示名为数字的列表中所有元素的平均值。列表中始终至少有一个数字。
 第 1 行：count ← 0
 第 2 行：sum ← 0
 第 3 行：FOR EACH value IN numbers
 第 4 行：{
 第 5 行：count ← count + 1
 第 6 行：sum ← sum + value
 第 7 行：average ← sum / count
 第 8 行：}
 第 9 行：DISPLAY (average)

 程序员希望减少程序运行时执行的操作数。哪种更改会导致执行的操作数减少的正确程序？",交换第 1 行和第 2 行,交换第 5 行和第 6 行,交换第 6 行和第 7 行,交换第 7 行和第 8 行,D,high_school_computer_science
35,"本问题涉及以下信息。
以下节选自 1651 年的《航海法案》。
从 1651 年 12 月 1 日起，在亚洲、非洲或美洲或其任何部分、或属于它们的任何岛屿、或在这些地方的通常地图或卡片上描述或标明的任何岛屿、以及英国种植园和其他种植园的生长、生产或制造的任何货物或商品，都只能通过真正而不欺诈地只属于本联邦人民或其种植园的所有者或权利所有者的、且船长和水手也属于本联邦人民的任何船只、船舶或舰船，被进口或带入英格兰联邦、或爱尔兰，或属于或占有的任何其他土地、岛屿、种植园或联邦领土；对违反本法规定的进口货物处以没收和损失的处罚……
自 1651 年 12 月 1 日起，在欧洲或其任何部分生长、生产或制造的任何货物或商品，都只能通过真正而不欺诈地只属于本联邦人民的任何船只、船舶或舰船被进口或带入英格兰联邦或属于或占有的任何其他土地或领地，但真正和适当地属于该货物生长、生产或制造的那个国家或地方人民的外国船舶除外。
以下哪项是 1651 年英国尾闾议会所期望的上述立法的结果？",为了防止英国殖民地受到欧洲大陆竞争对手制造的廉价商品的轰炸,从葡萄牙手中夺回奴隶贸易的统治权，以满足英国加勒比殖民地甘蔗种植园对奴隶日益增长的需求,通过限制荷兰人在英国和殖民地之间运输货物以及从其他国家进出英国的货物的能力，结束荷兰人对海上贸易的统治,把法国人从大西洋海上贸易以及当时由法国人主导的鳕鱼业和捕鲸业中解放出来,C,high_school_european_history
64,"本问题涉及以下信息。
请读下面这封信。
发生了一件事…… 一个西班牙人看到了一个印第安人…… 吃一块从被杀的印第安人身上取下来的肉…… 我把犯人烧死了，并解释说，原因是他杀了那个印第安人，吃了他，这是陛下和我以你的名义所禁止的。我进一步让酋长明白，所有的人…… 必须戒掉这个习俗…… 我来…… 保护他们的生命和财产，并教导他们，他们只崇拜一个上帝[，]…… 他们必须离开他们的偶像和他们一直奉行的仪式，因为这些都是魔鬼编造的谎言…… 和欺骗…… 同样，我也来教导他们，陛下根据上帝的旨意统治着宇宙，他们也必须服从帝国的枷锁，并按照我们陛下的大臣所吩咐的去做。
——赫南·科尔特斯，给神圣罗马帝国皇帝查理五世的第五封信，1521 年
以下哪项探索动机在上述文件中最为明显？",重商主义的兴起使国家在促进商业发展和获得海外殖民地方面发挥了新的作用。,欧洲国家寻求直接获得黄金、香料和奢侈品，以此作为增加个人财富和国家权力的手段。,每个船长都追求巨大的荣耀和财富。,当政府和宗教当局寻求传播信仰和对抗伊斯兰教时，基督教刺激了人们的探索，并为在物质和文化上征服土著文明提供了理由。,D,high_school_european_history
115,"本问题涉及以下信息。
阅读下面的政府报告。
在居民无法救助的 450 名病人中，有 200 人被赶了出来，我们看到他们一个接一个地躺在路边死去。还有很多人留下来，他们每个人只能得到最少量的面包。我们只把面包给那些否则会死的人。这里的主食是老鼠，这里的居民猎杀老鼠，因为他们饿得要命。他们吃动物不能吃的根；事实上，一个人无法用语言表达他所看到的景象…… 这种叙述非但没有夸大其词，反而低估了这件事的恐怖程度，因为它没有记录到这个地区的百分之一的苦难。没有亲眼目睹过的人无法想象它有多严重。在这两个省，每天至少有 200 人死于饥荒。我们亲眼看到过成群的人，不是牛，而是男人和女人，在兰斯和雷姆斯特尔之间的田野里游荡，像猪一样翻土寻找几根树根；由于他们只能找到腐烂的树根，而且还不到一半，他们变得如此虚弱，以至于没有力气去寻找食物。在博尔特的教区牧师告诉我们，他埋葬了三个死于饥饿的教区居民，我们附上了他的信。其余的人靠切碎的稻草和泥土混在一起生活，他们把它们做成了一种不能被称为面包的食物。同一地方的其他人以病死的动物的尸体为食，而牧师因为无法帮助他的人民，就允许他们在长老会的火上烤这些肉。
——《诺曼底领地报告》，1651 年
下列哪项是导致十七世纪法国人面临的健康和饥饿问题的最不重要的因素？",低生产率的农业做法,恶劣天气,对农民和中产阶级的税收很低,糟糕的运输,C,high_school_european_history
161,"本问题涉及以下信息。
第一条：德国、奥匈帝国、保加利亚和土耳其为一方，俄国为另一方，宣布它们之间的战争状态已经停止。各国决心从今以后彼此和睦相处。……
第三条：缔约双方商定的边界线以西以前属于俄国的领土，将不再服从俄国的主权；在作为本和平条约重要组成部分提交的地图上标出议定的界线。这条线的确切定位将由一个俄德委员会确定。
《布列斯特—立托夫斯克和约》，1918 年 3 月 14 日
《布列斯特—立托夫斯克和约》最能被描述为________的结果",布尔什维克需要结束俄国战争以巩固他们的革命成果,布尔什维克领导人的腐败以及与俄罗斯商业利益集团的勾结,三国协约的解体,法国和英国向反对布尔什维克政府的所谓白俄提供援助,A,high_school_european_history
15,以下哪种宗教最先发展起来？,佛教,基督教,伊斯兰教,印度教,D,high_school_geography
29,哪种经济活动与物理环境的关系最为密切？,第一产业,第二产业,第三产业,第四产业,A,high_school_geography
72,印度教的圣书被称为,塔木德经。,圣经。,托拉。,吠陀经。,D,high_school_geography
128,以下哪项不是核心-外围发展模式中的扩散效应？,核心区拥堵,核心区劳动力成本高,核心区密度高,核心区有更多基础设施,D,high_school_geography
153,新马尔萨斯主义的影响体现在,政府的计划生育。,饥荒救济。,增加社会福利计划的支出。,提高总和生育率。,A,high_school_geography
180,以下哪个行业不需要靠近市场？,乳制品,体积增大型产品,单一市场产品,体积减小型产品,D,high_school_geography
183,高速公路的建设会导致除以下哪一项外的所有结果？,城市无序扩张,交通流量增加,交通拥堵,减少对汽车的依赖,D,high_school_geography
29,紧缩性货币政策意味着折现率、名义利率和总需求分别出现以下哪项变化？折现率      名义利率      总需求,降低           上升      降低,上升           上升      降低,降低           降低      降低,上升           上升      上升,B,high_school_macroeconomics
109,以下哪种货币政策会降低扩张性财政政策的效果？,降低本国货币的价值。,降低所得税率。,向商业银行出售国库券。,降低贴现率。,C,high_school_macroeconomics
158,如果美国联邦储备委员会 (FED) 在二级市场购买债券，那么,货币供应量就会增加。,货币供应量就会减少。,货币供应不会受到影响。,贴现率会受到影响。,A,high_school_macroeconomics
209,根据货币主义分析，货币供应量的减少会,使经济中的价格水平和产出提高。,使经济中的价格水平和产出降低。,使经济中的价格水平提高。,使经济中的价格水平降低。,B,high_school_macroeconomics
248,如果生活水平提高，我们可以得出结论的是,产出肯定增加了。,人口肯定增加了。,产出和人口肯定增加了。,产出的增长比例一定高于人口的增长比例。,D,high_school_macroeconomics
258,“供给学派”经济学家会不同意以下哪个说法？,税收变化会导致总供给的变化，而总供给的变化会抵消总需求的变化，从而降低税收变化对实际 GDP 的影响。,减税可能会促进储蓄投资，资本得到积累，从而使总供给增加。,增税可能会降低税后工资，抑制工作积极性，从而使总供给减少。,减税有可能会为承担风险提供更多回报，从而使总供给增加。,A,high_school_macroeconomics
263,货币主义的一个重要假设是,边际消费倾向是恒定不变的。,货币供应是连续的。,汇率是固定的。,货币流通速度是稳定的。,D,high_school_macroeconomics
304,哪项交易不会计入 GDP？,非法入境的盗版 DVD,医生的服务,退休人员的社会保障福利,A 和 C,D,high_school_macroeconomics
348,以下哪项可能会使一个国家的经济增长减缓？,为大学生提供低息担保贷款,取消储蓄所得税,取消投资税收抵免,为医学院提供更多研究经费,C,high_school_macroeconomics
353,GDP 是衡量一个国家的 I. 生产水平。稳定性。III. 收入水平。,仅 I。,仅 II。,仅 III。,I 和 III。,D,high_school_macroeconomics
361,以下哪项会带来经济增长？,失业率降低。,失业率上升。,劳动力人口增加。,人口减少。,C,high_school_macroeconomics
32,具有 16、15、12 因数的最小正整数是多少？,12,22,840,240,D,high_school_mathematics
